name,quadrant,ring,isNew,description
Scrum,Arbetssätt/Metod,Tillämpa,FALSE,Agil metodik med roller och ritualer 
"Projektledning, agil",Arbetssätt/Metod,Tillämpa,FALSE,
Node.js,Språk,Tillämpa,FALSE,
Microservices,Verktyg,Tillämpa,FALSE,"Arkitekturprincip för system för att skapa mindre, oberoende beståndsdelar med avgränsade ansvarsområden för att möjliggöra lättrörlighet och återanvändbarhet."
SBE,Arbetssätt/Metod,Tillämpa,FALSE,Specification By Example. Ett sätt att arbeta fram och dokumentera krav som blir tydliga och enkla att förstå. Se även Cucumber.
Kanban,Arbetssätt/Metod,Tillämpa,FALSE,Ett verktyg för att visualisera kommande och pågående arbete samt möjlighet att identifiera flaskhalsar i flödet och organisera arbetet.
SAFe-ish,Arbetssätt/Metod,Tillämpa,FALSE,"Plockat några godbitar ur SAFe, men kör inte hela paketet."
Kibana / Elastic search,Plattform,Tillämpa,FALSE,Elk stacken
Mattermost,Plattform,Tillämpa,FALSE,"Chat, typ Slack"
OpenShift,Plattform,Tillämpa,FALSE,CaaS (Container as a Service) för drift av containers. Redhats anpassning av Kubernetes.
Open Metrics,Plattform,Tillämpa,FALSE,Hämta mätdata
JMS,Plattform,Tillämpa,FALSE,
Vue,Språk,Tillämpa,FALSE,Javascript-ramverk för att bygga Singe page-webapplikationer med komponenter
Java 11,Språk,Tillämpa,FALSE,
EJB,Språk,Tillämpa,FALSE,
Java 8,Språk,Tillämpa,FALSE,På grund av miljö är man ibland tvungen att välja Java 8
C++,Språk,Tillämpa,FALSE,
BPM,Verktyg,Tillämpa,FALSE,IBMs version på FK
Cucumber,Verktyg,Tillämpa,FALSE,Vertyg för dokumentation av krav (Gherkin-syntax) samt testautomatisering av dessa krav
Selenium,Verktyg,Tillämpa,FALSE,"Ett verktyg för att programmatiskt köra webbapplikationer, t ex vid automatisering av tester"
AI/ML,Verktyg,Utvärdera,FALSE,
Cobol,Språk,Avvakta,TRUE,Programmeringsspåk för stordator. Flyttades från Utvärdera till Avvakta vid uppdatering 2022-04-20.
Service Mesh,Verktyg,Utvärdera,FALSE,Konfigurerbar infrastruktur för Microservices
Cypress,Verktyg,Tillämpa,TRUE,Vertyg för automatisering av testning av webbapplikationer. Flyttades från Utvärdera till Tillämpa vid uppdatering 2022-04-20.
WireMock,Verktyg,Tillämpa,TRUE,Flyttades från Utvärdera till Tillämpa vid uppdatering 2022-04-20.
SonarQube,Verktyg,Tillämpa,TRUE,"Automatisk kodanalys för att se tekniskt skuld, testtäckning, möjliga buggar och för stora klasser, mm. Flyttades från Utvärdera till Tillämpa vid uppdatering 2022-04-20."
Kotlin,Språk,Prova,FALSE,"Programmeringsspråk framtaget av Jetbrains. Används ofta i Android-utveckling, men har även blivit populärt i backend."
Quarkus,Språk,Tillämpa,TRUE,Flyttades från Prova till Tillämpa vid uppdatering 2022-04-20.
SAFe by the book,Arbetssätt/Metod,Avvakta,FALSE,Ett stort paket med metder för att hantera beroenden mellan team och utvecklingsinsatser i stora organisationer
"Projektledning, traditionell",Arbetssätt/Metod,Avvakta,FALSE,
SOAP,Plattform,Avvakta,FALSE,Format för strukturering av XML för användning t ex via webbservices eller meddelandebuss
Weblogic Server,Plattform,Avvakta,FALSE,Applikationsserver för att drifta Java-applikationer
Puppet,Verktyg,Avvakta,FALSE,Ett verktyg för att på ett automatiserat sätt installera och konfigurera servrar.
BDD,Arbetssätt/Metod,Tillämpa,TRUE,Tillkom vid uppdatering 2022-04-20.
TDD,Arbetssätt/Metod,Tillämpa,TRUE,Tillkom vid uppdatering 2022-04-20.
Java 17,Språk,Tillämpa,TRUE,Tillkom vid uppdatering 2022-04-20.
Spring Boot,Verktyg,Tillämpa,TRUE,"Ramverk för Java och Kotlin-applikationer. Har använts länge, men tillkom vid uppdatering 2022-04-20."
PACT,Verktyg,Prova,TRUE,Tillkom vid uppdatering 2022-04-20.
Tecton,Verktyg,Utvärdera,TRUE,Tillkom vid uppdatering 2022-04-20.
Camunda,Verktyg,Tillämpa,TRUE,Tillkom vid uppdatering 2022-04-20.
Helm,Verktyg,Tillämpa,TRUE,Tillkom vid uppdatering 2022-04-20.
NexusIQ,Verktyg,Tillämpa,TRUE,Tillkom vid uppdatering 2022-04-20.
Swagger,Verktyg,Tillämpa,TRUE,Tillkom vid uppdatering 2022-04-20.
MongoDB,Verktyg,Prova,TRUE,Tillkom vid uppdatering 2022-04-20.
REST,Verktyg,Tillämpa,TRUE,Tillkom vid uppdatering 2022-04-20.
TestFlow,Verktyg,Tillämpa,TRUE,Tillkom vid uppdatering 2022-04-20.
IBM db2,Plattform,Tillämpa,TRUE,Tillkom vid uppdatering 2022-04-20.
IBM MQ,Plattform,Tillämpa,TRUE,Tillkom vid uppdatering 2022-04-20.
ActiveMQ,Plattform,Tillämpa,TRUE,Tillkom vid uppdatering 2022-04-20.